IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
0	repo	(root)	13487	427	15	17	README.md	README
1	repo	Active-Directory	25728	845	17	53	Active-Directory/BloodHound-Python_Cheatsheet.md	Usually pre-installed on Kali
2	repo	Active-Directory	26655	705	16	41	Active-Directory/BloodyAD.md	Clone repository
3	repo	Active-Directory	22394	698	11	39	Active-Directory/Certipy-ad.md	Install via pip
4	repo	Active-Directory	22834	806	13	84	Active-Directory/Impacket_Cheatsheet.md	Can also use like:
5	repo	Active-Directory	23044	739	15	51	Active-Directory/SharpHound_Cheatsheet.md	Start SMB server in directory containing SharpHound.exe
6	repo	Enumeration	44259	2064	29	264	Enumeration/Shodan_Cheatsheet.md	Install via pip
7	repo	Misc	17140	563	9	49	Misc/smbserver-cheatsheet.md	Verify Impacket is installed
8	repo	Misc	14930	550	15	53	Misc/sponge-cheatsheet.md	Debian/Ubuntu
9	vault	(root)	23902	550	15	27	Attack-Flow-Guide.md	Attack-Flow-Guide
10	vault	(root)	22716	464	19	23	CPTS-Exam-Attack-Flow.md	CPTS-Exam-Attack-Flow
11	vault	(root)	10231	287	17	19	CPTS-Exam-Most-Used-Commands.md	CPTS-Exam-Most-Used-Commands
12	vault	(root)	48303	1210	31	26	Digital_Forensics-Roadmap.md	ForensicsLab_S1 Forensic Investigation Roadmap
13	vault	(root)	30335	716	15	18	Git — Complete Branch & Vault Management Guide.md	Initialise the repo if you haven't already
14	vault	(root)	22150	793	23	40	macOS Terminal Tweaks Cheat Sheet.md	🍎 macOS Hidden Terminal Tweaks — Cheat Sheet
15	vault	(root)	12671	319	10	10	macOS-ISO-to-USB-Cheatsheet.md	💿 Burning ISOs to USB on macOS (CLI)
16	vault	(root)	27271	718	24	53	Most-Used-Commands.md	Most-Used-Commands
17	vault	ActiveDirectory	14145	272	11	9	ActiveDirectory/ACL-ESC-Techniques/_ADCS Attack Methodology Guide.md	ADCS Attack Methodology Guide
18	vault	ActiveDirectory	5146	131	4	3	ActiveDirectory/ACL-ESC-Techniques/_ADCS Dashboard.md	_ADCS Dashboard
19	vault	ActiveDirectory	9394	199	6	3	ActiveDirectory/ACL-ESC-Techniques/_ADCS ESC Attack Index.md	ADCS ESC Attack Index
20	vault	ActiveDirectory	15845	418	15	20	ActiveDirectory/ACL-ESC-Techniques/Certificate Persistence — Certifried (CVE-2022-26923).md	Certificate Persistence — Certifried (CVE-2022-26923)
21	vault	ActiveDirectory	4534	127	8	7	ActiveDirectory/ACL-ESC-Techniques/DPERSIST2 — Rogue CA Certificate (NTAuth Injection).md	DPERSIST2 — Rogue CA Certificate (NTAuth Injection)
22	vault	ActiveDirectory	4367	112	8	5	ActiveDirectory/ACL-ESC-Techniques/DPERSIST3 — Malicious Misconfiguration (ACL Backdoor).md	DPERSIST3 — Malicious Misconfiguration (ACL Backdoor)
23	vault	ActiveDirectory	14009	310	15	12	ActiveDirectory/ACL-ESC-Techniques/ESC1 — SAN Specification in Template.md	ESC1 — SAN Specification in Template
24	vault	ActiveDirectory	7640	225	11	8	ActiveDirectory/ACL-ESC-Techniques/ESC10 — Weak Certificate Mapping.md	ESC10 — Weak Certificate Mapping
25	vault	ActiveDirectory	16848	378	11	17	ActiveDirectory/ACL-ESC-Techniques/ESC11 — NTLM Relay to ADCS RPC (ICPR).md	ESC11 — NTLM Relay to ADCS RPC (ICPR)
26	vault	ActiveDirectory	7421	199	10	8	ActiveDirectory/ACL-ESC-Techniques/ESC12 — Shell Access to CA with YubiHSM.md	ESC12 — Shell Access to CA with YubiHSM
27	vault	ActiveDirectory	9076	234	11	9	ActiveDirectory/ACL-ESC-Techniques/ESC13 — Issuance Policy OID Group Link.md	ESC13 — Issuance Policy OID Group Link
28	vault	ActiveDirectory	9115	256	10	11	ActiveDirectory/ACL-ESC-Techniques/ESC14 — Weak Explicit Certificate Mapping.md	ESC14 — Weak Explicit Certificate Mapping
29	vault	ActiveDirectory	11327	285	14	10	ActiveDirectory/ACL-ESC-Techniques/ESC15 — EKUwu (CVE-2024-49019).md	ESC15 — EKUwu (CVE-2024-49019)
30	vault	ActiveDirectory	12959	286	12	14	ActiveDirectory/ACL-ESC-Techniques/ESC16 — Security Extension Disabled on CA (Globally).md	ESC16 — Security Extension Disabled on CA (Globally)
