decision	category	slug	title	source	reason
ADD	active-directory	certificate-persistence-certifried-cve-2022-26923	Certificate Persistence — Certifried (CVE-2022-26923)	ActiveDirectory/ACL-ESC-Techniques/Certificate Persistence — Certifried (CVE-2022-26923).md	advanced · 5 tools
ADD	active-directory	dpersist2-rogue-ca-certificate-ntauth-injection	DPERSIST2 — Rogue CA Certificate (NTAuth Injection)	ActiveDirectory/ACL-ESC-Techniques/DPERSIST2 — Rogue CA Certificate (NTAuth Injection).md	advanced · 3 tools
ADD	active-directory	dpersist3-malicious-misconfiguration-acl-backdoor	DPERSIST3 — Malicious Misconfiguration (ACL Backdoor)	ActiveDirectory/ACL-ESC-Techniques/DPERSIST3 — Malicious Misconfiguration (ACL Backdoor).md	advanced · 2 tools
ADD	active-directory	esc1-san-specification-in-template	ESC1 — SAN Specification in Template	ActiveDirectory/ACL-ESC-Techniques/ESC1 — SAN Specification in Template.md	advanced · 5 tools
ADD	active-directory	esc10-weak-certificate-mapping	ESC10 — Weak Certificate Mapping	ActiveDirectory/ACL-ESC-Techniques/ESC10 — Weak Certificate Mapping.md	advanced · 4 tools
ADD	active-directory	esc11-ntlm-relay-to-adcs-rpc-icpr	ESC11 — NTLM Relay to ADCS RPC (ICPR)	ActiveDirectory/ACL-ESC-Techniques/ESC11 — NTLM Relay to ADCS RPC (ICPR).md	advanced · 5 tools
ADD	active-directory	esc12-shell-access-to-ca-with-yubihsm	ESC12 — Shell Access to CA with YubiHSM	ActiveDirectory/ACL-ESC-Techniques/ESC12 — Shell Access to CA with YubiHSM.md	advanced · 3 tools
ADD	active-directory	esc13-issuance-policy-oid-group-link	ESC13 — Issuance Policy OID Group Link	ActiveDirectory/ACL-ESC-Techniques/ESC13 — Issuance Policy OID Group Link.md	advanced · 5 tools
ADD	active-directory	esc14-weak-explicit-certificate-mapping	ESC14 — Weak Explicit Certificate Mapping	ActiveDirectory/ACL-ESC-Techniques/ESC14 — Weak Explicit Certificate Mapping.md	advanced · 5 tools
ADD	active-directory	esc15-ekuwu-cve-2024-49019	ESC15 — EKUwu (CVE-2024-49019)	ActiveDirectory/ACL-ESC-Techniques/ESC15 — EKUwu (CVE-2024-49019).md	advanced · 5 tools
ADD	active-directory	esc16-security-extension-disabled-on-ca-globally	ESC16 — Security Extension Disabled on CA (Globally)	ActiveDirectory/ACL-ESC-Techniques/ESC16 — Security Extension Disabled on CA (Globally).md	advanced · 5 tools
ADD	active-directory	esc17-adcs-certificate-spoofing-to-attack-https-enabled-wsus-clients	ESC17 — ADCS Certificate Spoofing to Attack HTTPS-Enabled WSUS Clients	ActiveDirectory/ACL-ESC-Techniques/ESC17 — ADCS Certificate Spoofing to Attack HTTPS-Enabled WSUS Clients.md	advanced · 5 tools
ADD	active-directory	esc2-any-purpose-eku-no-eku-the-swiss-certificate	ESC2 — Any Purpose EKU No EKU (The Swiss Certificate)	ActiveDirectory/ACL-ESC-Techniques/ESC2 — Any Purpose EKU  No EKU (The Swiss Certificate).md	advanced · 5 tools
ADD	active-directory	esc3-misconfigured-enrollment-agent-templates	ESC3 — Misconfigured Enrollment Agent Templates	ActiveDirectory/ACL-ESC-Techniques/ESC3 — Misconfigured Enrollment Agent Templates.md	advanced · 5 tools
ADD	active-directory	esc4-vulnerable-certificate-template-access-control	ESC4 — Vulnerable Certificate Template Access Control	ActiveDirectory/ACL-ESC-Techniques/ESC4 — Vulnerable Certificate Template Access Control.md	advanced · 5 tools
ADD	active-directory	esc5-vulnerable-pki-object-access-control	ESC5 — Vulnerable PKI Object Access Control	ActiveDirectory/ACL-ESC-Techniques/ESC5 — Vulnerable PKI Object Access Control.md	advanced · 5 tools
ADD	active-directory	esc6-editf-attributesubjectaltname2-flag	ESC6 — EDITF_ATTRIBUTESUBJECTALTNAME2 Flag	ActiveDirectory/ACL-ESC-Techniques/ESC6 — EDITF_ATTRIBUTESUBJECTALTNAME2 Flag.md	advanced · 5 tools
ADD	active-directory	esc7-vulnerable-ca-access-control-manageca-managecertificates	ESC7 — Vulnerable CA Access Control (ManageCA ManageCertificates)	ActiveDirectory/ACL-ESC-Techniques/ESC7 — Vulnerable CA Access Control (ManageCA  ManageCertificates).md	advanced · 5 tools
ADD	active-directory	esc8-ntlm-relay-to-adcs-http-web-enrollment	ESC8 — NTLM Relay to ADCS HTTP Web Enrollment	ActiveDirectory/ACL-ESC-Techniques/ESC8 — NTLM Relay to ADCS HTTP Web Enrollment.md	advanced · 5 tools
